text,label
"The MEMS microphone of claim, wherein the output signal is an output voltage, and wherein the deriving the equation comprises:
obtaining output data of the time domain waveform representing the output voltage; and
based on the output data, deriving properties of the time domain waveform comprising the amplitude of the time domain waveform and the fundamental frequency of the time domain waveform.",output stimulus waveform
"The MEMS microphone of claim, further comprising:
a diaphragm that converts the SPL into an electrical signal;
a single backplate capacitively coupled to a side of the diaphragm; and
an electronic amplifier that buffers the electrical signal to generate the output signal.",diaphragm electrical signal
"The MEMS microphone of claim, further comprising:
a diaphragm that converts the SPL into an electrical signal;
dual backplates capacitively coupled to respective sides of the diaphragm; and
an electronic amplifier that buffers the electrical signal to generate the output signal.",diaphragm electrical signal
"The MEMS microphone of claim, wherein the defined relationship represents a voltage difference between the ideal sine wave stimulus and the time domain waveform with respect to a defined alignment of respective phases of the ideal sine wave stimulus and the time domain waveform.",output stimulus waveform
"The method of claim, wherein the generating the sine wave stimulus comprises:
obtaining data representing the output signal of the microphone; and
generating the sine wave stimulus having the amplitude of the time domain waveform and the fundamental frequency of the time domain waveform.",output stimulus waveform
"The method of claim, wherein the output signal is a voltage output, and wherein the selecting comprises:
measuring, by the system, the voltage output.",output stimulus waveform
"The method of claim, wherein the output signal is a voltage output, and wherein the selecting comprises:
deriving, during a simulation of a defined model of the microphone based on defined production parameters corresponding to the microphone, the voltage output.",output stimulus waveform
"The method of claim, wherein the selecting comprises:
selecting the equation based on a voltage difference between the sine wave stimulus and the time domain waveform with respect to a defined alignment of respective phases of the sine wave stimulus and the time domain waveform.",output stimulus waveform
"A Method for a Media Gateway in connection to a backbone, comprising the steps of: measuring a packet loss or a jitter associated with said backbone, receiving a call when the measured packet loss exceeds a predefined packet loss threshold or when the measured jitter exceeds a predefined jitter threshold for said backbone;",said predefined threshold
"A Method for a Media Gateway in connection to a backbone, comprising the steps of: measuring a packet loss or a jitter associated with said backbone, receiving a call when the measured packet loss exceeds a predefined packet loss threshold or when the measured jitter exceeds a predefined jitter threshold for said backbone;",said predefined threshold
"A Method for a Mobile Switching Centre Server in connection to a backbone, comprising the steps of: receiving a call set-up request associated with said backbone; detecting that the call set-up should be performed by a Media Gateway even when the measured packet loss is above a predefined packet loss threshold or when the measured jitter is above a predefined jitter threshold for said backbone;",said predefined threshold
"A Method for a Mobile Switching Centre Server in connection to a backbone, comprising the steps of: receiving a call set-up request associated with said backbone; detecting that the call set-up should be performed by a Media Gateway even when the measured packet loss is above a predefined packet loss threshold or when the measured jitter is above a predefined jitter threshold for said backbone;",said predefined threshold
"A Media Gateway comprising: means for connecting to a backbone; said means for connecting are configured to receive a call; processing means configured to measure a packet loss or a jitter for said backbone; said processing means are further configured to detect an indication associated with the call,",said predefined threshold
"The apparatus of claim, 2 or 3, ftirther comprising: call receiving means for receiving a first call from a calling party; call initiating means for entering a call initiation mode, in response to activation of a first predetermined button, for initiating a second call;",button predetermined apparatus
"A Media Gateway comprising: means for connecting to a backbone; said means for connecting are configured to receive a call; processing means configured to measure a packet loss or a jitter for said backbone; said processing means are further configured to detect an indication associated with the call,",said predefined threshold
A Mobile Switching Centre Server comprising: means for connecting to a backbone; said means for connecting are further configured to receive a call set-up request associated with said backbone; means for processing configured to detect that a call set-up should be performed by a Media Gateway even when a measured packet loss is above a predefined packet loss threshold or when a measured jitter is above a predefined jitter threshold for said backbone;,said predefined threshold
A Mobile Switching Centre Server comprising: means for connecting to a backbone; said means for connecting are further configured to receive a call set-up request associated with said backbone; means for processing configured to detect that a call set-up should be performed by a Media Gateway even when a measured packet loss is above a predefined packet loss threshold or when a measured jitter is above a predefined jitter threshold for said backbone;,said predefined threshold
"A micro-electro-mechanical system (MEMS) microphone, comprising:
a processor; and
a memory that stores executable instructions that, when executed by the processor, facilitate performance of operations, comprising:
creating an ideal sine wave stimulus representing an output signal of the MEMS microphone with respect to an input stimulus of a defined sound pressure level (SPL) that has been applied to the MEMS microphone, wherein the ideal sine wave stimulus is based on an amplitude of a time domain waveform representing the output signal and a fundamental frequency of the time domain waveform;",output stimulus waveform
"A micro-electro-mechanical system (MEMS) microphone, comprising:
a processor; and
a memory that stores executable instructions that, when executed by the processor, facilitate performance of operations, comprising:
creating an ideal sine wave stimulus representing an output signal of the MEMS microphone with respect to an input stimulus of a defined sound pressure level (SPL) that has been applied to the MEMS microphone, wherein the ideal sine wave stimulus is based on an amplitude of a time domain waveform representing the output signal and a fundamental frequency of the time domain waveform;",output stimulus waveform
"A method, comprising:
generating, by a system comprising a processor, a sine wave stimulus representing an output signal of a microphone with respect to an input stimulus that has been applied to the microphone, wherein the sine wave stimulus is based on an amplitude of a time domain waveform representing the output signal and a fundamental frequency of the time domain waveform;",output stimulus waveform
"A method, comprising:
generating, by a system comprising a processor, a sine wave stimulus representing an output signal of a microphone with respect to an input stimulus that has been applied to the microphone, wherein the sine wave stimulus is based on an amplitude of a time domain waveform representing the output signal and a fundamental frequency of the time domain waveform;",output stimulus waveform
